Isolates_nopass_ethaboxam,Isolates_nopass_mefenoxam
VAL1603_80.ethaboxam.48.3,VAL1702_72.mefenoxam.48.12
VAL1603_83.ethaboxam.48.7,VAL1701_97.mefenoxam.48.12
VAL1604_22.ethaboxam.48.2,VAL1603_19.mefenoxam.48.7
VAL1605_25.ethaboxam.48.5,VAL1602_78.mefenoxam.48.1
VAL1605_91.ethaboxam.48.12,VAL1602_64.mefenoxam.48.12
VAL1601_67.ethaboxam.48.12,VAL1702_34.mefenoxam.48.12
VAL1602_22.ethaboxam.48.3,VAL1605_31.mefenoxam.48.12
VAL1602_42.ethaboxam.48.3,VAL1705_06.mefenoxam.48.13
VAL1602_43.ethaboxam.48.3,VAL1605_98.mefenoxam.48.12
VAL1602_65.ethaboxam.48.2,VAL1601_67.mefenoxam.48.12
VAL1602_67.ethaboxam.48.4,VAL1605_04.mefenoxam.48.12
VAL1602_71.ethaboxam.48.7,VAL1705_155.mefenoxam.48.13
VAL1602_84.ethaboxam.48.6,VAL1705_127.mefenoxam.48.10
VAL1602_89.ethaboxam.48.12,VAL1704_82.mefenoxam.48.10
VAL1602_89.ethaboxam.48.3,VAL1601_16.mefenoxam.48.5
VAL1602_91.ethaboxam.48.7,VAL1603_41.mefenoxam.48.3
VAL1603_61.ethaboxam.48.2,VAL1602_91.mefenoxam.48.12
VAL1603_81.ethaboxam.48.12,VAL1705_12.mefenoxam.48.12
VAL1604_27.ethaboxam.48.7,VAL1702_84.mefenoxam.48.12
VAL1604_29.ethaboxam.48.7,VAL1602_89.mefenoxam.48.3
VAL1605_39.ethaboxam.48.6,VAL1602_40.mefenoxam.48.4
VAL1605_48.ethaboxam.48.12,VAL1602_46.mefenoxam.48.3
VAL1605_49.ethaboxam.48.6,VAL1602_22.mefenoxam.48.3
VAL1605_71.ethaboxam.48.6,VAL1602_25.mefenoxam.48.4
VAL1605_96.ethaboxam.48.5,VAL1601_64.mefenoxam.48.7
VAL1605_98.ethaboxam.48.12,VAL1705_22.mefenoxam.48.10
VAL1701_42.ethaboxam.48.13,VAL1602_95.mefenoxam.48.3
VAL1701_76.ethaboxam.48.12,VAL1704_111.mefenoxam.48.10
VAL1702_104.ethaboxam.48.13,VAL1704_105.mefenoxam.48.13
VAL1702_32.ethaboxam.48.8,
VAL1702_34.ethaboxam.48.12,
VAL1702_57.ethaboxam.48.12,
VAL1702_72.ethaboxam.48.12,
VAL1702_87.ethaboxam.48.12,
VAL1704_07.ethaboxam.48.8,
VAL1704_13.ethaboxam.48.13,
VAL1704_18.ethaboxam.48.8,
VAL1704_22.ethaboxam.48.8,
VAL1704_32.ethaboxam.48.8,
VAL1704_33.ethaboxam.48.8,
VAL1704_34.ethaboxam.48.8,
VAL1704_40.ethaboxam.48.10,
VAL1704_41.ethaboxam.48.10,
VAL1704_42.ethaboxam.48.8,
VAL1704_50.ethaboxam.48.8,
VAL1704_54.ethaboxam.48.13,
VAL1704_57.ethaboxam.48.8,
VAL1704_67.ethaboxam.48.8,
VAL1704_78.ethaboxam.48.13,
VAL1704_91.ethaboxam.48.10,
VAL1704_96.ethaboxam.48.10,
VAL1705_03.ethaboxam.48.8,
VAL1705_110.ethaboxam.48.12,
VAL1705_129.ethaboxam.48.8,
VAL1705_139.ethaboxam.48.8,
VAL1705_143.ethaboxam.48.8,
VAL1705_158.ethaboxam.48.10,
VAL1705_20.ethaboxam.48.12,
VAL1705_39.ethaboxam.48.8,
VAL1705_50.ethaboxam.48.8,
VAL1705_64.ethaboxam.48.10,
VAL1705_78.ethaboxam.48.8,
VAL1603_18.ethaboxam.48.12,
VAL1602_09.ethaboxam.48.4,